,open,high,low,close
2017-09-11,1.20233,1.203525,1.19479,1.19523
2017-09-12,1.19518,1.19782,1.192625,1.196675
2017-09-13,1.196625,1.199525,1.187305,1.188535
2017-09-14,1.188695,1.19225,1.183805,1.191885
2017-09-15,1.191245,1.19874,1.190085,1.1947
2017-09-18,1.19335,1.196935,1.191505,1.19541
2017-09-19,1.195275,1.200665,1.195075,1.199425
2017-09-20,1.199345,1.20349,1.18613,1.1893
2017-09-21,1.18919,1.19538,1.18658,1.194135
2017-09-22,1.19407,1.200475,1.193705,1.19504
2017-09-25,1.19085,1.193675,1.1832,1.184825
2017-09-26,1.18494,1.18616,1.175735,1.179315
2017-09-27,1.17936,1.179525,1.171725,1.174495
2017-09-28,1.1747,1.18043,1.172125,1.178625
2017-09-29,1.178625,1.183255,1.17727,1.181505
2017-10-02,1.18057,1.181545,1.173025,1.173285
2017-10-03,1.17357,1.177345,1.169635,1.1744
2017-10-04,1.174195,1.17877,1.17351,1.175945
2017-10-05,1.175995,1.17789,1.1699,1.17114
2017-10-06,1.17107,1.173885,1.16694,1.173285
2017-10-09,1.173925,1.1756,1.171945,1.174045
2017-10-10,1.17408,1.18255,1.17394,1.18082
2017-10-11,1.180835,1.18692,1.179525,1.18595
2017-10-12,1.18607,1.187985,1.182705,1.183005
2017-10-13,1.18303,1.187495,1.18054,1.18214
2017-10-16,1.1814,1.181975,1.178065,1.1796
2017-10-17,1.17978,1.18004,1.173605,1.176635
2017-10-18,1.1766,1.180545,1.173015,1.17875
2017-10-19,1.1793,1.185825,1.176805,1.185255
2017-10-20,1.185095,1.185815,1.176255,1.17849
2017-10-23,1.177025,1.17774,1.172505,1.174915
2017-10-24,1.1748,1.179295,1.174285,1.176155
2017-10-25,1.176255,1.181775,1.175315,1.18128
2017-10-26,1.181475,1.183685,1.16405,1.165045
2017-10-27,1.16559,1.165755,1.15741,1.16091
2017-10-30,1.161295,1.16578,1.159375,1.165085
2017-10-31,1.16508,1.166145,1.162515,1.164615
2017-11-01,1.16453,1.165745,1.160645,1.16188
2017-11-02,1.162415,1.168745,1.16132,1.165835
2017-11-03,1.165925,1.169425,1.159925,1.160745
2017-11-06,1.16117,1.16242,1.15803,1.160985
2017-11-07,1.161185,1.16157,1.15541,1.158635
2017-11-08,1.158695,1.161115,1.157905,1.159495
2017-11-09,1.159655,1.165495,1.15857,1.16417
2017-11-10,1.164105,1.167795,1.162285,1.166525
2017-11-13,1.166075,1.167525,1.16375,1.166725
2017-11-14,1.16678,1.18052,1.16616,1.17977
2017-11-15,1.17991,1.18611,1.178475,1.17913
2017-11-16,1.17879,1.180095,1.175665,1.176985
2017-11-17,1.177025,1.18219,1.176545,1.17888
2017-11-20,1.17865,1.180875,1.17224,1.173265
2017-11-21,1.17327,1.175785,1.1713,1.17382
2017-11-22,1.17367,1.182715,1.17327,1.18224
2017-11-23,1.182,1.18561,1.181335,1.184975
2017-11-24,1.18492,1.194445,1.183675,1.193225
2017-11-27,1.192775,1.196125,1.18957,1.18984
2017-11-28,1.18982,1.191995,1.18271,1.184
2017-11-29,1.184375,1.18829,1.181725,1.18473
2017-11-30,1.18485,1.193145,1.180915,1.1904
2017-12-01,1.190335,1.194045,1.18509,1.189895
2017-12-04,1.1866,1.18787,1.182925,1.186575
2017-12-05,1.1863,1.18767,1.180085,1.18263
2017-12-06,1.18277,1.184805,1.178065,1.179555
2017-12-07,1.179975,1.181485,1.177195,1.177285
2017-12-08,1.177305,1.17767,1.173015,1.177205
2017-12-11,1.176575,1.18119,1.176415,1.176915
2017-12-12,1.177415,1.17927,1.171755,1.17419
2017-12-13,1.1742,1.18316,1.17295,1.182585
2017-12-14,1.182845,1.186265,1.17708,1.177795
2017-12-15,1.177915,1.181225,1.17493,1.174945
2017-12-18,1.174725,1.18344,1.17383,1.17817
2017-12-19,1.17829,1.184885,1.177655,1.183945
2017-12-20,1.184025,1.190175,1.182905,1.18712
2017-12-21,1.187175,1.188965,1.184935,1.18743
2017-12-22,1.18735,1.18742,1.181705,1.185825
2017-12-26,1.187135,1.187885,1.18466,1.185815
2017-12-27,1.185725,1.191045,1.185515,1.188785
2017-12-28,1.1899,1.195905,1.189635,1.194255
2017-12-29,1.19435,1.20256,1.193665,1.199815
2018-01-02,1.20106,1.208145,1.20079,1.20586
2018-01-03,1.20505,1.206625,1.20014,1.201455
2018-01-04,1.201525,1.20888,1.200445,1.20683
2018-01-05,1.20675,1.20831,1.20207,1.202965
2018-01-08,1.2031,1.205255,1.195575,1.19672
2018-01-09,1.1967,1.19757,1.19156,1.193685
2018-01-10,1.193625,1.201815,1.192325,1.194765
2018-01-11,1.195075,1.205895,1.192925,1.203215
2018-01-12,1.20345,1.221875,1.203105,1.220625
2018-01-15,1.2204,1.229665,1.218775,1.226365
2018-01-16,1.226625,1.228345,1.219515,1.22602
2018-01-17,1.22613,1.232305,1.217755,1.218625
2018-01-18,1.21875,1.226495,1.21652,1.223845
2018-01-19,1.223875,1.22955,1.221495,1.221925
2018-01-22,1.226275,1.226715,1.221395,1.2262
2018-01-23,1.226,1.23064,1.222305,1.22986
2018-01-24,1.229925,1.241505,1.22912,1.24083
2018-01-25,1.240675,1.25379,1.23641,1.23957
2018-01-26,1.23955,1.249385,1.237065,1.24272
2018-01-29,1.2417,1.243235,1.233685,1.238245
2018-01-30,1.238245,1.245405,1.233485,1.24027
2018-01-31,1.240275,1.247495,1.2387,1.24135
2018-02-01,1.2407,1.25227,1.238545,1.25091
2018-02-02,1.251,1.251835,1.24091,1.245775
2018-02-05,1.244125,1.247515,1.236295,1.23673
2018-02-06,1.237425,1.243475,1.231395,1.237705
2018-02-07,1.23735,1.240615,1.224575,1.22642
2018-02-08,1.2257,1.229525,1.221215,1.224695
2018-02-09,1.224675,1.228735,1.220555,1.225265
2018-02-12,1.224525,1.229725,1.22351,1.229175
2018-02-13,1.229105,1.23712,1.228455,1.235155
2018-02-14,1.235325,1.246505,1.227605,1.24509
2018-02-15,1.245525,1.25104,1.2448,1.250625
2018-02-16,1.2506,1.255575,1.239315,1.24088
2018-02-19,1.241175,1.243515,1.236915,1.240735
2018-02-20,1.240605,1.24124,1.231985,1.233755
2018-02-21,1.23383,1.235985,1.22811,1.228345
2018-02-22,1.228215,1.235225,1.225965,1.233065
2018-02-23,1.233075,1.23373,1.22798,1.229575
2018-02-26,1.22933,1.23553,1.227765,1.231725
2018-02-27,1.2317,1.23465,1.222155,1.223285
2018-02-28,1.223475,1.22417,1.2188,1.2194
2018-03-01,1.21972,1.227325,1.215445,1.226635
2018-03-02,1.227225,1.233605,1.225155,1.232005
2018-03-05,1.235775,1.23648,1.226905,1.233585
2018-03-06,1.2337,1.242055,1.232805,1.240415
2018-03-07,1.240795,1.244555,1.23849,1.241125
2018-03-08,1.241145,1.24462,1.229805,1.231155
2018-03-09,1.231175,1.233445,1.227315,1.23075
